# z r Bz Br
#--------------------
 -343 12 0.00048 -0.000065
 -343 13 0.000479 -0.000069
 -343 14 0.000479 -0.000075
 -343 15 0.000478 -0.00008
 -343 16 0.000477 -0.000086
 -343 17 0.000476 -0.000091
 -343 18 0.000474 -0.000097
 -343 19 0.000474 -0.000102
 -343 20 0.000473 -0.000107
 -343 21 0.000471 -0.000112
 -343 22 0.00047 -0.000118
 -343 23 0.000469 -0.000123
 -343 24 0.000467 -0.000128
 -343 25 0.000466 -0.000133
 -343 26 0.000464 -0.000139
 -343 27 0.000463 -0.000144
 -343 28 0.000461 -0.000149
 -343 29 0.000459 -0.000154
 -343 30 0.000458 -0.000159
 -343 31 0.000456 -0.000164
 -343 32 0.000455 -0.00017
 -343 33 0.000452 -0.000175
 -343 34 0.000451 -0.00018
 -343 35 0.000448 -0.000185
 -343 36 0.000446 -0.00019
 -343 37 0.000444 -0.000195
 -343 38 0.000442 -0.000199
 -343 39 0.00044 -0.000204
 -343 40 0.000438 -0.000209
 -343 41 0.000435 -0.000214
 -343 42 0.000433 -0.000219
 -343 43 0.00043 -0.000224
 -343 44 0.000427 -0.000229
 -343 45 0.000426 -0.000234
 -343 46 0.000423 -0.000238
 -343 47 0.00042 -0.000243
 -343 48 0.000418 -0.000247
 -343 49 0.000415 -0.000253
 -343 50 0.000413 -0.000258
 -342 0 0.000495 0
 -342 1 0.000495 -0.000005
 -342 2 0.000496 -0.000011
 -342 3 0.000495 -0.000017
 -342 4 0.000494 -0.000022
 -342 5 0.000495 -0.000027
 -342 6 0.000494 -0.000032
 -342 7 0.000494 -0.000038
 -342 8 0.000493 -0.000044
 -342 9 0.000492 -0.000049
 -342 10 0.000492 -0.000054
 -342 11 0.000492 -0.00006
 -342 12 0.000491 -0.000065
 -342 13 0.00049 -0.000071
 -342 14 0.000489 -0.000076
 -342 15 0.000489 -0.000082
 -342 16 0.000487 -0.000087
 -342 17 0.000487 -0.000092
 -342 18 0.000485 -0.000097
 -342 19 0.000484 -0.000103
 -342 20 0.000483 -0.000108
 -342 21 0.000482 -0.000113
 -342 22 0.000481 -0.000119
 -342 23 0.000479 -0.000124
 -342 24 0.000478 -0.00013
 -342 25 0.000476 -0.000135
 -342 26 0.000474 -0.00014
 -342 27 0.000473 -0.000145
 -342 28 0.000472 -0.000151
 -342 29 0.00047 -0.000155
 -342 30 0.000468 -0.000161
 -342 31 0.000467 -0.000166
 -342 32 0.000465 -0.000171
 -342 33 0.000463 -0.000176
 -342 34 0.000461 -0.000181
 -342 35 0.000458 -0.000186
 -342 36 0.000457 -0.000192
 -342 37 0.000454 -0.000197
 -342 38 0.000452 -0.000202
 -342 39 0.00045 -0.000207
 -342 40 0.000448 -0.000211
 -342 41 0.000445 -0.000216
 -342 42 0.000443 -0.000222
 -342 43 0.000441 -0.000226
 -342 44 0.000438 -0.000231
 -342 45 0.000436 -0.000236
 -342 46 0.000433 -0.000242
 -342 47 0.000431 -0.000247
 -342 48 0.000428 -0.000252
 -342 49 0.000426 -0.000256
 -342 50 0.000422 -0.00026
 -341 0 0.000505 0
 -341 1 0.000506 -0.000005
 -341 2 0.000507 -0.000011
 -341 3 0.000505 -0.000016
 -341 4 0.000505 -0.000022
 -341 5 0.000505 -0.000028
 -341 6 0.000505 -0.000033
 -341 7 0.000505 -0.000039
 -341 8 0.000504 -0.000044
 -341 9 0.000503 -0.00005
 -341 10 0.000503 -0.000055
 -341 11 0.000503 -0.000061
 -341 12 0.000502 -0.000066
 -341 13 0.000501 -0.000072
